DATE;Aligent;Centene;DEXcom;Carmax;Amazon;Voniter;Equinix;Laboratory corporation of american holding;Baxter Internatinal;Lowe's companies;S&P
24-09-2021;172.39;62.82;561.17;144.45;3426.98;34.89;834.62;296.295;80.855;207.9;4455.48
27-09-2021;166.53;63.82;548.54;145.24;3406.22;34.86;807.66;290.99;80.57;210.63;4443.11
28-09-2021;159.82;63.54;536.92;143.01;3317.28;34.45;799.48;283.04;80.72;205.43;4352.63
29-09-2021;160.09;63.26;544.83;146.5;3301.4;34.42;801.38;286.94;81.81;207.13;4359.46
30-09-2021;157.47;62.3;546.94;127.96;3285.4;33.62;790.12;281.45;80.42;202.71;4307.54
01-10-2021;155.94;63.05;549.61;127.17;3282.15;34.04;789.18;279.01;81.29;203.69;4357.04
04-10-2021;152.36;62.53;526.29;122.5;3191.12;33.72;785;275;80.37;204.53;4300.46
05-10-2021;152.995;62.72;540.49;126.26;3219.03;33.82;760.73;276.1;80.85;204.22;4345.72
06-10-2021;153.67;63.04;541.81;129.31;3263.74;33.25;761.86;275.44;80.85;203.96;4363.55
07-10-2021;155.25;63.98;539.05;131.33;3300.49;33.675;766.16;279.23;80.58;207.9;4399.76
08-10-2021;152.47;64.33;529.61;130.53;3288.83;33.78;750.51;278.22;80.21;206.09;4391.34
11-10-2021;150.01;63.09;528.26;129.29;3245.89;32.55;750.34;274.23;78.91;208.81;4361.19
12-10-2021;147.94;63.06;538.54;131.52;3247.65;32.795;759.48;273.94;78.71;209.82;4350.65
13-10-2021;150.12;61.93;548.35;133.36;3283.69;33.28;763.87;273.38;78.78;212.06;4363.8
14-10-2021;152.58;63.23;554.45;135.68;3299.23;33.95;769.91;275.7;79.88;216.44;4438.26
15-10-2021;153.35;65.36;543.76;136.71;3409.56;34.12;781.23;271.66;79.7;219.11;4471.37
18-10-2021;154.77;64.01;540.95;137.55;3446.7;34.05;766.95;274.26;78.18;221.73;4486.46
19-10-2021;155.57;64.73;549.79;138.45;3443.25;34.22;779.37;276.09;79.69;222.9;4519.63
20-10-2021;157.56;68.1;556.15;138.56;3411.61;34.32;794.17;278.71;81.245;224.96;4536.19
21-10-2021;156.95;69.01;568.31;141.92;3435.99;34.44;810.37;279.84;81.47;227.46;4549.78
22-10-2021;158.03;69.21;566.57;143.42;3335.25;34.335;821.48;282.15;82.19;228.72;4544.9
25-10-2021;158.3;67.89;568.11;140;3322.64;34.195;823.08;281.09;81.37;231.73;4566.48